iter	RMSE
349	2173.936491
350	2170.824392
351	2168.625401
352	2164.537553
353	2162.19009
354	2159.140564
355	2156.465937
356	2154.963076
357	2152.078405
358	2148.476484
359	2147.487442
360	2144.91831
361	2141.27321
362	2139.042425
363	2133.596319
364	2130.778562
365	2129.321879
366	2125.826994
367	2122.816478
368	2121.678195
369	2119.103091
370	2116.481809
371	2114.595969
372	2112.647103
373	2109.703754
374	2107.390284
375	2106.349918
376	2103.900093
377	2102.101056
378	2100.101183
379	2099.086787
380	2097.622651
381	2095.895854
382	2092.64375
383	2088.09059
384	2084.135488
385	2082.930794
386	2081.120346
387	2079.813582
388	2077.854737
389	2076.46249
390	2075.176665
391	2072.877596
392	2072.23983
393	2070.653934
394	2066.829557
395	2064.444546
396	2061.681204
397	2057.986896
398	2057.140639
399	2055.344788
400	2054.732937
401	2053.05659
402	2051.49906
403	2048.994317
404	2047.737513
405	2046.142717
406	2045.541968
407	2043.555214
408	2038.995599
409	2037.062696
410	2035.737795
411	2033.070804
412	2029.635693
413	2027.496837
414	2025.760017
415	2022.338513
416	2020.540263
417	2016.125677
418	2014.099788
419	2013.376039
420	2011.010628
421	2009.066675
422	2006.891353
423	2005.106822
424	2004.376201
425	2002.888642
426	1999.4913
427	1998.65641
428	1996.37706
429	1993.842406
430	1990.85061
431	1989.052906
432	1986.916533
433	1984.280126
434	1982.366863
435	1979.813792
436	1977.433417
437	1975.290382
438	1974.322004
439	1973.302368
440	1972.02774
441	1969.28818
442	1968.166938
443	1967.547395
444	1965.732149
445	1964.27078
446	1963.078135
447	1961.246206
448	1959.852356
449	1956.172057
450	1954.391237
451	1952.358717
452	1950.079219
453	1949.391563
454	1947.365164
455	1945.411659
456	1944.037601
457	1942.383916
458	1941.248534
459	1939.937137
460	1939.388191
461	1935.726681
462	1933.960985
463	1932.013394
464	1931.114257
465	1928.382332
466	1926.796363
467	1923.353028
468	1921.212832
469	1920.162293
470	1917.63448
471	1915.907084
472	1913.336348
473	1911.123599
474	1908.929989
475	1907.304833
476	1904.542953
477	1902.769906
478	1901.151247
479	1898.460391
480	1897.045032
481	1895.184047
482	1892.13175
483	1889.672293
484	1888.832618
485	1887.893538
486	1886.578631
487	1885.675883
488	1883.361992
489	1880.661963
490	1879.368775
491	1876.342999
492	1874.916742
493	1872.589674
494	1871.396638
495	1869.647656
496	1867.816779
497	1863.078288
498	1860.808943
499	1859.025909
